name,link,player_id,image_url,alt_text
Rohit Sharma,https://www.bcci.tv/international/men/videos/players/rohit-sharma/6,6,https://bcciplayerimages-v2.s3.amazonaws.com/resizedimageskirti/107_compress.png,Rohit Sharma
Virat Kohli,https://www.bcci.tv/international/men/videos/players/virat-kohli/2,2,https://documents.bcci.tv/resizedimageskirti/164_compress.png,Virat Kohli
Jasprit Bumrah,https://www.bcci.tv/international/men/videos/players/jasprit-bumrah/9,9,https://documents.bcci.tv/resizedimageskirti/1124_compress.png,Jasprit Bumrah
Ravindra Jadeja,https://www.bcci.tv/international/men/videos/players/ravindra-jadeja/46,46,https://documents.bcci.tv/resizedimageskirti/9_compress.png,Ravindra Jadeja
Mohammed Siraj,https://www.bcci.tv/international/men/videos/players/mohammed-siraj/63,63,https://documents.bcci.tv/resizedimageskirti/3840_compress.png,Mohammed Siraj
KL Rahul,https://www.bcci.tv/international/men/videos/players/kl-rahul/19,19,https://documents.bcci.tv/resizedimageskirti/1125_compress.png,KL Rahul
Shubman Gill,https://www.bcci.tv/international/men/videos/players/shubman-gill/62,62,https://documents.bcci.tv/resizedimageskirti/3761_compress.png,Shubman Gill
Hardik Pandya,https://www.bcci.tv/international/men/videos/players/hardik-pandya/54,54,https://documents.bcci.tv/resizedimageskirti/2740_compress.png,Hardik Pandya
Mohammed Shami,https://www.bcci.tv/international/men/videos/players/mohammed-shami/47,47,https://documents.bcci.tv/resizedimageskirti/94_compress.png,Mohammed Shami
Rishabh Pant,https://www.bcci.tv/international/men/videos/players/rishabh-pant/18,18,https://documents.bcci.tv/resizedimageskirti/2972_compress.png,Rishabh Pant
Surya Kumar Yadav,https://www.bcci.tv/international/men/videos/players/surya-kumar-yadav/174,174,https://documents.bcci.tv/resizedimageskirti/1212_compress.png,Surya Kumar Yadav
Kuldeep Yadav,https://www.bcci.tv/international/men/videos/players/kuldeep-yadav/14,14,https://documents.bcci.tv/resizedimageskirti/261_compress.png,Kuldeep Yadav
Axar Patel,https://www.bcci.tv/international/men/videos/players/axar-patel/110,110,https://documents.bcci.tv/resizedimageskirti/1113_compress.png,Axar Patel
Yashasvi Jaiswal,https://www.bcci.tv/international/men/videos/players/yashasvi-jaiswal/533,533,https://documents.bcci.tv/playerheadshot/bcci/1000x1280/11086.png,Yashasvi Jaiswal
Shreyas Iyer,https://www.bcci.tv/international/men/videos/players/shreyas-iyer/12,12,https://documents.bcci.tv/playerheadshot/bcci/1000x1280/1563.png,Shreyas Iyer
Rinku Singh,https://www.bcci.tv/international/men/videos/players/rinku-singh/152,152,https://documents.bcci.tv/playerheadshot/bcci/1000x1280/11087.png,Rinku Singh
Tilak Verma,https://www.bcci.tv/international/men/videos/players/tilak-verma/993,993,https://documents.bcci.tv/playerheadshot/bcci/1000x1280/11088.png,Tilak Verma
Ruturaj Gaikwad,https://www.bcci.tv/international/men/videos/players/ruturaj-gaikwad/102,102,https://documents.bcci.tv/playerheadshot/bcci/1000x1280/11095.png,Ruturaj Gaikwad
Shivam Dube,https://www.bcci.tv/international/men/videos/players/shivam-dube/211,211,https://documents.bcci.tv/playerheadshot/bcci/1000x1280/11089.png,Shivam Dube
Ravi Bishnoi,https://www.bcci.tv/international/men/videos/players/ravi-bishnoi/520,520,https://documents.bcci.tv/playerheadshot/bcci/1000x1280/11084.png,Ravi Bishnoi
